product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage Options","Color Temperature (CCT)","Fixture Options","Beam Angle Options","Connector Type Options","Finish Options","Letter Color Options","Wattage & Lumen Options","Trimplate Options","Length & Wattage Options","Lens Options","Occupancy Sensor","Trim Options","Sensor Options","Battery Options","Size & Wattage Options","Size, Wattage & Lumen Options","Factory Installed Lamps","Mounting Kit","Wiring Options","Voltage Options","Control Options","Fixture Configuration","Mounting Options","Photo Cell","Wattage and Lumen Options","Square Trims Ring Options","Round Trim Ring Options","Square Trim Ring Options",Voltage,"Wattage / Lumen Options"
11431,GC-15.5PAR38,GC-15.5PAR38-930FL40/277V-CASE5,,167.75,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11431,GC-15.5PAR38,GC-15.5PAR38-940FL40/277V-CASE5,,167.75,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11433,BL-BOL-R-27L,BL-BOL-R-27L-4K,,229.65,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11433,BL-BOL-R-27L,BL-BOL-R-27L-5K,,229.65,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,GC-6.5MR16,GC-6.5MR16-927-NF25,,7.4,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,GC-6.5MR16,GC-6.5MR16-927-NF25,,7.4,,,,0,,,,"25 Deg.",,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,GC-6.5MR16,GC-6.5MR16-927-FL35,,7.4,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,GC-6.5MR16,GC-6.5MR16-927-FL35,,7.4,,,,0,,,,"35 Deg.",,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,GC-6.5MR16,GC-6.5MR16-930-NF25,,7.4,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,GC-6.5MR16,GC-6.5MR16-930-NF25,,7.4,,,,0,,,,"25 Deg.",,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,GC-6.5MR16,GC-6.5MR16-930-FL35,,7.4,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,GC-6.5MR16,GC-6.5MR16-930-FL35,,7.4,,,,0,,,,"35 Deg.",,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,GC-6.5MR16,GC-6.5MR16-940-NF25,,7.4,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,GC-6.5MR16,GC-6.5MR16-940-NF25,,7.4,,,,0,,,,"25 Deg.",,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,GC-6.5MR16,GC-6.5MR16-940-FL35,,7.4,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,GC-6.5MR16,GC-6.5MR16-940-FL35,,7.4,,,,0,,,,"35 Deg.",,,,,,,,,,,,,,,,,,,,,,,,,,,
11435,BL-BOL-S-27L,BL-BOL-S-27L-4K,,229.65,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
